City_ID,City,Country,Max_Temp,Current Description,Lat,Lng,Hotel Name
408,Isabela,PH,78.58,overcast clouds,6.7085,121.9711,Isawad Resort
410,Tateyama,JP,77.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
416,Yambio,SS,79.68,broken clouds,4.5721,28.3955,Naivasha Hotel
418,Margate,GB,80.69,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
421,Kendari,ID,75.54,few clouds,-3.945,122.4989,Hotel Wixel
426,Piacabucu,BR,76.53,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
427,Cotonou,BJ,84.18,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
430,Barabai,ID,75.11,clear sky,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
431,Katsuura,JP,78.1,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
432,Koutiala,ML,78.93,light rain,12.3917,-5.4642,Hotel La Chaumiere
434,Broome,US,84.67,few clouds,42.2506,-75.833,Chenango Valley State Park
438,Ixtapa,MX,83.23,scattered clouds,20.7,-105.2,hotel la terminal
445,Alugan,PH,82.22,overcast clouds,12.2188,125.4808,JM Lodge
449,Thoen,TH,77.61,overcast clouds,17.6129,99.2161,บ้านห้องนอน
451,Aguimes,ES,79.66,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
454,Sigli,ID,81.54,overcast clouds,5.3848,95.9609,Losmen Dua Mali
458,Ternate,ID,81.54,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
459,Sai Buri,TH,82.96,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
465,Nago,JP,82.8,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
466,Kattivakkam,IN,84.07,overcast clouds,13.2167,80.3167,Euronova Freezer
470,Faya,SA,75.72,light rain,18.3851,42.4509,املاك خالد الشعشوع
473,Agbor,NG,80.26,light rain,6.2518,6.1934,MIRAMAS HOTEL
476,Caravelas,BR,76.3,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
477,Daloa,CI,78.58,overcast clouds,6.8774,-6.4502,Imans Hotel Daloa
486,Manokwari,ID,78.73,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
487,Nha Trang,VN,77.0,moderate rain,12.25,109.1833,Hanoi Golden Hotel
488,Takaungu,KE,76.87,clear sky,-3.6837,39.8566,Takaungu House
489,Shawville,CA,77.77,overcast clouds,45.6001,-76.4827,Shawville Hotel
491,Wanlaweyn,SO,82.6,broken clouds,2.6185,44.8938,GAASHAAN HOME
493,Pointe Michel,DM,83.34,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
495,Howard Springs,AU,73.31,overcast clouds,-12.497,131.047,buffalo beach hostel
